Site,Sl No.,Plot No.,Dimension,Area
Plots,393,374,"30' 0"" x 40' 0""",1200
Plots,394,374 (A),"(65'6""+40'0"") / 2 x (55'9""+3'0"") / 2",1549
Plots,395,375,"(40' 0"" + 45'6"" )/2 x 60'0""",2565
Plots,396,376,"40' 0"" x 60' 0""",2400
Plots,397,377,"40' 0"" x 60' 0""",2400
Plots,398,378,"40' 0"" x 60' 0""",2400
Plots,399,379,"40' 0"" x 60' 0""",2400
Plots,400,380,"40' 0"" x 60' 0""",2400
Plots,401,381,"40' 0"" x 60' 0""",2400
Plots,402,382,"40' 0"" x 60' 0""",2400
Plots,403,383,"40' 0"" x 60' 0""",2400
Plots,404,384,"80' 0"" x 60' 0""",4800
Plots,405,384B,"(26'3"" + 0') / 2 x (60' + 64') / 2",814
Plots,406,385,"30'0"" x 59'3""",1777
Plots,407,385 (A),"(0' 6"" + 27' 0"")/2 x (64' 9"" + 59' 3"")/2",852
Plots,408,386,"(38' 3"" + 37'9"") / 2 x 60'0""",2280
Plots,409,387,40'  x 60',2400
Plots,410,388,"(40'+40' 9"")/2 x (60' 0""+53'6"") / 2",2291
Plots,411,389,"(40'0"" + 42' 6"") x (39' 0"" + 53'6"") / 2",1907
Plots,412,390,"(40'0"" + 42' 6"") x (39' 0"" + 23'3"") / 2",1283
Plots,413,391,"(33'3""+25'9""') / 2 x (23'3""+13'0"") / 2",534
Plots,414,392,"(33'0"" + 30'0"") / 2 x (46'9""+ 59'6"") / 2",1673
Plots,415,392 / 1,"(76'3"" + 62'9"") / 2 x (13'0""+ 45'3"") / 2",2024
Plots,416,392 (A),"40' 0"" x 60' 0""",2400
Plots,417,392 (b),"40' 0"" x 60' 0""",2400
Plots,418,393,"40' 0"" x 60' 0""",2400
Plots,419,394,"40' 0"" x 60' 0""",2400
Plots,420,395,"40' 0"" x 60' 0""",2400
Plots,421,396,"40' 0"" x 60' 0""",2400
Plots,422,397,"40' 0"" x 60' 0""",2400
Plots,423,398,"40' 0"" x 60' 0""",2400
Plots,424,399,"40' 0"" x 60' 0""",2400
Plots,425,400,"40' 0"" x 60' 0""",2400
Plots,426,401,"40' 0"" x 60' 0""",2400
Plots,427,402,"40' 0"" x 60' 0""",2400
Plots,428,403,"40' 0"" x 60' 0""",2400
Plots,429,406,"(42'3"" + 30'0"") / 2 "" x (60'0"" + 60'9"") / 2",2181
Plots,430,406A,"30'9"" x (59'6"" + 60'0"") / 2",1837
Plots,431,419,"40'0"" x 40'0""",1600
Plots,432,420,"80'0"" x 60'0""",4800
Plots,433,421,"80'0"" x 60'0""",4800
Plots,434,422,"80'0"" x 30'0""",2400
Plots,435,423,"80'0"" x 30'0""",2400
Plots,436,424,"40' 0"" x 60' 0""",2400
Plots,437,429,"40' 0"" x 60' 0""",2400
Plots,438,430,"40'0"" x 50'0""",2000
Plots,439,432,"40' 0"" x 60' 0""",2400
Plots,440,433,"40' 0"" x 60' 0""",2400
Plots,441,434,"40' 0"" x 60' 0""",2400
Plots,442,435,"40' 0"" x 60' 0""",2400
Plots,443,436,"40' 0"" x 60' 0""",2400
Plots,444,437,"80'0"" x 60'0""",4800
Plots,445,438,"80'0"" x 60'0""",4800
Plots,446,443,"40' 0"" x 60' 0""",2400
Plots,447,444,"40' 0"" x 60' 0""",2400
Plots,448,445,"40' 0"" x 60' 0""",2400
Plots,449,446,"40' 0"" x 60' 0""",2400
Plots,450,447,"40' 0"" x 60' 0""",2400
Plots,451,448,"40' 0"" x 60' 0""",2400
Plots,452,449,"80'0"" x 60'0""",4800
Plots,453,450,"80'0"" x 60'0""",4800
Plots,454,451,"40' 0"" x 60' 0""",2400
Plots,455,456,"40' 0"" x 60' 0""",2400
Plots,456,457,"40' 0"" x 60' 0""",2400
Plots,457,458,"40' 0"" x 60' 0""",2400
Plots,458,459,"40' 0"" x 60' 0""",2400
Plots,459,460,"40' 0"" x 60' 0""",2400
Plots,460,461,"40'0"" x 60'0""",2400
Plots,461, 461 (A),"40'0"" x 60'0""",2400
Plots,462,461 (B),"(40'6"" + 40'0"") / 2 x (65'0""+ 62'0"") / 2",2556
Plots,463,461 (C),"(40'6"" + 40'0"") / 2 x (68'0""+ 65'0"") / 2",2676
Plots,464,462,"40'0"" x (68'0""+71'0"") / 2",2780
Plots,465,463,"40'0"" x (74'6""+71'0"") / 2",2910
Plots,466,464,"40'0"" x (78'0""+74'6"") / 2",3050
Plots,467,465,"40'0"" x (81'0""+78'0"") / 2",3180
Plots,468,466,"(40'0""+41'0"") / 2  x 81'0""",3280
Plots,469,467,"50' 0"" x 80' 0""",4000
Plots,470,468,"50' 0"" x 80' 0""",4000
Plots,471,469,"50' 0"" x 80' 0""",4000
Plots,472,470,"50' 0"" x 80' 0""",4000
Plots,473,471,"50' 0"" x 80' 0""",4000
Plots,474,472,"50' 0"" x 80' 0""",4000
Plots,475,473,"50' 0"" x 80' 0""",4000
Plots,476,474,"50' 0"" x 80' 0""",4000
Plots,477,475,"50' 0"" x 80' 0""",4000
Plots,478,476,"50' 0"" x 80' 0""",4000
Plots,479,477,"50' 0"" x 80' 0""",4000
Plots,480,478,"60' 0"" x 80' 0""",4800
Plots,481,479,"50' 0"" x 80' 0""",4000
Plots,482,481,"38' 0"" x 80' 0""",3040
Plots,483,482,"50' 0"" x 80' 0""",4000
Plots,484,483,"(53'9"" + 52'0"") / 2 x 80'",4230
Plots,485,489,"50' 0"" x 80' 0""",4000
Plots,486,490,"50' 0"" x 80' 0""",4000
Plots,487,495,"80' 0"" x 120' 0""",9600
Plots,488,496,"64' 6"" x 120' 0""",7740
Plots,489,497,"80' 0"" x 120' 0""",9600
Plots,490,498,"80' 0"" x 120' 0""",9600
Plots,491,501,"80' 0"" x 120' 0""",9600
Plots,492,502 B,"80' 0"" x 40' 0""",3200
Plots,493,502 A,"80' 0"" x 40' 0""",3200
Plots,494,502 C,"80' 0"" x 40' 0""",3200
Plots,495,503,"80' 0"" x 120' 0""",9600
Plots,496,504,"80' 0"" x 120' 0""",9600
Plots,497,505,"80' 0"" x 120' 0""",9600
Plots,498,506,"80' 0"" x 120' 0""",9600
Plots,499,507,"80' 0"" x 120' 0""",9600
Plots,500,508,"80' 0"" x 120' 0""",9600
Plots,501,509,"80' 0"" x 120' 0""",9600
Plots,502,510,"80' 0"" x 120' 0""",9600
Plots,503,511,"4'3""+ 83'3"" / 2 x 40'0""",1750
Plots,504,511 A,"83'3"" x 40'0""",3330
Plots,505,511 B,"60'0"" x 120'0""",7200
Plots,506,514,"(50'0""+49'6"") / 2 x (72'6"" + 67'0"") / 2",3470
Plots,507,515,"(120'0"" + 130'0"") / 2 x (0'0""+50') / 2",3125
Plots,508,515 (A),"(40'0"" + 46'3"") / 2 x (50'0""+49'6"") / 2",2145
Plots,509,516 (A),"(24'9""+26'0"")/2 x (33'9""+26'0"")/2",758
Plots,510,517,"49'6"" x 72'6""",3588
Plots,511,518,"40' 0"" x 72'6""",2900
Plots,512,519,"40' 0"" x 72'6""",2900
Plots,513,520,"40' 0"" x 72'6""",2900
Plots,514,521,"40' 0"" x 72'6""",2900
Plots,515,529,"60' 0"" x 90' 0""",5400
Plots,516,530,"60' 0"" x 90' 0""",5400
Plots,517,531,"60' 0"" x 90' 0""",5400
Plots,518,532,"60' 0"" x 90' 0""",5400
Plots,519,533,"60' 0"" x 90' 0""",5400
Plots,520,534,"(60' 0"" + 58'6"") / 2  x 90' 0""",5332
Plots,521,535,"60' 0"" x 90' 0""",5400
Plots,522,536,"60' 0"" x 90' 0""",5400
Plots,523,537,"60' 0"" x 90' 0""",5400
Plots,524,539,"60' 0"" x 90' 0""",5400
Plots,525,540,"50' 0"" x 90' 0""",4500
Plots,526,541,"50' 0"" x 80' 0""",4000
Plots,527,542,"50' 0"" x 80' 0""",4000
Plots,528,543,"50' 0"" x 80' 0""",4000
Plots,529,544,"50' 0"" x 80' 0""",4000
Plots,530,546,"50' 0"" x 80' 0""",4000
Plots,531,547,"50' 0"" x 80' 0""",4000
Plots,532,548,"50' 0"" x 80' 0""",4000
Plots,533,549,"50' 0"" x 80' 0""",4000
Plots,534,550,"50' 0"" x 80' 0""",4000
Plots,535,551,"50' 0"" x 80' 0""",4000
Plots,536,552,"50' 0"" x 80' 0""",4000
Plots,537,553,"50' 0"" x 80' 0""",4000
Plots,538,554,"50' 0"" x 80' 0""",4000
Plots,539,565,"40' 0"" x 60' 0""",2400
Plots,540,566,"40' 0"" x 60' 0""",2400
Plots,541,567,"40' 0"" x 60' 0""",2400
Plots,542,568,"40' 0"" x 60' 0""",2400
Plots,543,569,"40' 0"" x 60' 0""",2400
Plots,544,570,"40' 0"" x 60' 0""",2400
Plots,545,571,"40' 0"" x 60' 0""",2400
